story,code1,code2,code3
للعميل بريد مرتدتم اعدام مبلغ 2009.94جم بناء على قر:ار مجلس إداره رفم199 بتاريخ 17082:021 مع الاستمرار فى الاجراءات القضا:ئيه وعدم اصدار اي خطابات الا بعد ال:رجوع الى اداره ا,10,,
للعميل بريد مرتدتم اعدام مبلغ 26105.43جم بناءا على :قرار مجلس الادارة رقم 92020بتاريخ :30112020 مع الاستمرار فى الاجراءا:ت القضائية وعدم اصدار اى خطابات الا: بعد الرجوع لاادا,10,,
صافى القرض 50000 جمعدد الاقساط 84قيمة القسط 923.25 جممن 82014الى 72021للعميل بريد مرتد,41,,
صافى القرض 50000 جمعدد الاقساط 84قيمة القسط 923.25من 42015الى 32022,41,,
صافى القرض 50000 جمعدد الاقساط 96 قسطقيمة القسط 971.07 جمبداية السداد 32019الاستحقاق     22027,41,,
صافى القرض 50000 جمعدد الاقساط84 قسط قيمة القسط 923.25جمبداية السداد 22013الاستحقاق12020,41,,
صافى القرض 50000 جمقيمة القسط 884.90 جمعدد الاقساط   120 قسطمن   32019الى  22029 يستنزل القرض السابق,41,,
للعميل بريد مرتدتم اعلام بأن العميل متوفى بتاريخ 27:082023,12,,
للعميل بريد مرتدتم الإبلا بوفاة العميلمن هيئة البريد,12,,
للعميل بريد مرتدتم الإبلاغ بالوفاة يوم 10062020 م:ن خلال السبده  سناء إبراهيم  اخطار بوفاة العميل من خلال بيان:ات الشركة المصرية للاستعلام الائتما:ني  IScore,12,,
للعميل بريد مرتدتم الابلاغ بوفاة ال:عميل من هيئة البريد وارد الينا من ا:لادارة المختصة 23122021,12,,
للعميل بريد مرتدتم الإبلاغ بوفاة العميل من قبل هيئة: البريد,12,,
للعميل بريد مرتدتم الابلاغ بوفاة العميل من هيئة الب:ريداخطار بوفاة العميل خلال بيانات ت:الشركة المصريه للاستعلام الائتماني :Iscore,12,,
للعميل بريد مرتدتم الابلاغ بوفاة العميل من هيئه الب:ريد,12,,
للعميل بريد مرتدتم الابلاغ بوفاة العميل من هيئه الب:ريداخطار بوفاة العميل خلاب بيانات ا:لشركة المصرية للاستعلام الائتمانى i:scoure,12,,
للعميل بريد مرتدتم الإبلاغ بوفاه العميل من هيئه الب:ريد,12,,
للعميل بريد مرتدتم الابلاغ بوفاه العميل من هيئه الب:ريد اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
للعميل بريد مرتدتم الابلاغ بوفاه العميل من هيئه الب:ريداخطار بوفاه العميل خلال بياناتات ال:شركة المصرية لللاستعلام الائتمانى i:.scoure,12,,
يوجدكشف حساب مرتدعدم السحب لوفاة العميل بتاريخ1962016 خطاب ادارة التأمين والمعا:شات بالقوات المسلحه.,12,1,
يوجدكشف مرتد الرجاءالتوجه الى قسم ا:لمراجعه :مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميل,88,,
يوجدكشف مرتد الرجاءالتوجه الى قسم ا:لمراجعه برجاء الحضور الى قسم خدمه :العملاء لتحديث البيانات:مطلوب تحديث: بيانات العميل:مطلوب تحديث بيانات ا:لعميل,88,,
يوجدكشف مرتد الرجاءالتوجه الى قسم ا:لمراجعهبرجاءالتوجه لخدمه العملاء ل:تحديث البيانات:مطلوب تحديث بيانات ا:لعميل:مطلوب تحديث بيانات العميلللعميل بريدمرتدوفاه ال,88,12,
يوجدحجزبمبلغ 8349.00 جنيةكطلب0مامور:يةضرائب السنطة:مطلوب تحديث بيانات ا:لعميل,88,7,
يوجدحجزكطلب ماموريةضرائب طنطارابع م:بلغ 161128.95:مطلوب تحديث بيانات ال:عميل,88,7,
يوجدحساب كشف مرتد:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل,88,,
يوجدحساب كشف مرتد:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
يوجدخزن حديديه طرف فرع اللقانى ومجم:د5000جمللعميل بريد مرتد اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
يوجدخزينة حديدية طرف الفرعقبول ايداعات وعدم السحب الا بعد الر:جوع لقسم الخزائن الحديديه فرع بلقاس: لابرام وديعه خاصه بالخزينه,1,,
"يوجد مصاريف قضائية ، عدم اصدار كشوف: حساب اومخالصات او شهادات ابراء زمه: اوالتناذل عن الاجراءات القضائه الا:بعد الرجوع للاداره العامه للتحصيل و:معالجه الديون التجزي",10,,
يوجد مصاريف قضائية محول شئون قانوني:ة,10,,
يوجد مصاريف قضائية يجب خصمها على ال:عميل,10,,
يوجد مصاريف قضائية يجب خصمها قبل ا:عطاء العميل اى مخالصةسداد بشيك تغطية تأمينيه بمبلغ 34460:  10 حساب رقم 222599658 مبلغ 3829: جم والعائد بمبلغ 19051.69 حساب رقم: 440503587ولا يتم اصد,10,,
يوجد مصاريف قضائية يجب خصمها قبل اع:طاء العميل اى مخالصةللعميل بريد مرتد,10,,
يوجد مصاريف قضائية يجب خصمها قبل غل:ق الحساب,10,,
"يوجد مصاريف قضائية يجب خصمها قبل غل:ق الحساب، ايقاف الاجراءات القضائية :فى يناير2020",10,,
يوجد مصاريف قضائيةسداد جزء واعفاء :من جزء,10,,
يوجد مصاريف قضائيه على العميل ويحذر: التعامل معه,10,,
يوجد مصاريف قضائيه على العميل ويحذر: التعامل معه حتى سداد المصاريف تم :اعدام المديونيه المستحقه علي العميل: محاسبيا مع الاستمرار في الاجراءات :القانونيه المتخذه في 0,10,,
يوجد مصاريف قضائيه على العميل ويحذر: التعامل معه حتى سداد المصاريف.,10,,
يوجد م قضائية يجب خصمهاقبل اعطاء ال:عميل اى مخالصة.  اخطار بوفاة العميل: من خلال بيانات الشركة المصرية للاس:تعلام الائتماني  IScore,12,10,
يوجد للعميل خزينة حديديه.للعميل بريد مرتد:مطلوب تحديث بيانات: العميل..عدم السحب لوفاةلوفاة العميلة,88,12,
يوجد للعميل خزينة حديديه.وفاه العميل,12,,
عدم السحب الا بعد سداد القرض بالكام:ل خروج العميل على المعاش,1,,
عدم السحب الا بعد سداد الدين المعدم:قرض بمبلغ 19000 جم يسدد علي 48 قسط :قيمته 558.12 جم يبدا من 052018 الي: 042022,1,41,
عدم السحب الا بعد سداد القرض من نات:يج تحصيل الشيك حق يوم 412024شكرا,1,,
عدم السحب الا بعد سداد القرض و تحصي:ل الشيك,1,,
عدم السحب الا بعد سداد القرض واعطاء: مخالصه للعميل,1,,
عدم السحب إلا بعد سداد المتأخرات,1,,
عدم السحب الا بعد سداد المتاخرات  ق:رض سلع معمرة قرض سلع معمرة بمبلغ 17272 جم على 60: شهر بقسط 410.45 جم من 012016 حتى :122021 تحويل قسط,1,,
عدم السحب الا بعد سداد المتاخرات  ق:رض سلع معمرة قرض سلع معمرة بمبلغ10200جم على 18شه:ر بقسط 648.40جم من 062017 حتى 112:018تحويل قسط وزارة الصناعة و التجار:ة,1,,
عدم السحب الا بعد سداد المتاخرات . :تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 2305202,1,,
عدم السحب الا بعد سداد المتاخرات :قرض بمبلغ 100000 جم يسدد على 84 شهر: قيمة القسط 2101.78جم ابتداء من 32:020 حتى 22027,1,,
عدم السحب الا بعد سداد المتاخرات ا:لمستحقه على العميلهفاطمه حسين حساب: رقم580.409.7889 وعدم اعطائها مخالص:ه اواخلاء طرف الا بعدالرجوع لاداره :التحصيلتم تخفيض التعليمة ب,1,,
عدم السحب الا بعد سداد المتاخرات الرجوع للمشروعات  احمد ابوالخير,1,,
عدم السحب الا بعد سداد المتاخرات العميل متخز ضده اجراءات قضائية .,1,10,
عدم السحب الا بعد سداد المتاخرات اي:ميل اداره التحصيل 26112020 أ ف3:5413.25448.83 23052022.عدم اصدا:ر ك ح مخالصات شهادات ابراء ذمهالابع:د الرجوع لتحصيل محظور تعاملش قانونية,1,,
عدم السحب الا بعد سداد المتأخرات با:لكامل,1,,
عدم السحب الا بعد سداد المتأخرات عد:م السحب او التعامل حتى يتم سداد متا:خرات القرض,1,,
عدم السحب الا بعد سداد المتاخرات عل:ى البطاقة الائتمانية,1,,
عدم السحب الا بعد سداد المتأخرات عل:ى البطاقه الائتمانيه و القرض,1,,
عدم السحب الا بعد سداد المتاخرات قر:ض  فيزاعدم اخلاء طرف العميل لحصوله على فيز:ا بمبلغ 4000 جم,1,,
عدم السحب الا بعد سداد المتاخرات قرض بمبلغ 70000 جميسدد على 120 شهربواقع1194.5 جممن30032012 وحتى 30032029مصلحة السجونتحويل مرتب,1,,
عدم السحب الا بعد سداد المتأخرات قرض حكومى بمبلغ 53000 خميسدد على 120شهربواقع 855.08 جممن 30082018 حتى 30072028مصلحة ا:لسجونتحويل مرتبالعميل حاصل على بطاقه ائتمانيه بحد :15000 ج,1,,
عدم السحب الا بعد سداد المتاخرات مطلوب تحديث البياناتاخطار بوفاه الع:ميل من خلال بيانات الشركه المصريه ل:لاستعلام الائتمان iscore,88,12,
عدم السحب الا بعد سداد المتاخرات وا:لحصول على خطاب للتامينات بتعديل رقم: الحساب المحول اليه المعاش الى ح 4:09,1,,
عدم السحب الا بعد سداد المتأخرات وا:لرجوع الي اداره التحصيل,1,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021 :اخطار بوفاة العميل من خلال,12,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021اخ:طار بوفاه العميل من خلال,12,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021اخطار بوفاة العميل من خلال,12,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ   اخطار بوفاة العميل من خلال بيانات ا:لش,12,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 082021متخذ ضده اجرائات قضائيه,10,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 082021مصاريف قضائيه 392 جم بتاريخ 11052:021 ال,10,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القضائيه المتخذه بتاريخ 012018,10,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القضائيه المتخذه بتاريخ 012018 اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام,12,,
بطاقة ائتمانية معدمه ف 27092023 ب:قيمه 28317.74 قرض بمبلغ 1000000 جم :يسدد علي 36 قسط قيمته 38970.81 جم ي:بدا من 092019 الي 082022 .. للعمي:ل بطاقة ائتمانيه رجال اعمالنما الى علمنا وفاة الع,12,41,
بطاقة ائتمانية معدومة بتاريخ 2212:2014,41,,
بطاقة ائتمانية معدومه 394.32جم 15:379.32بتاريخ 22052022 عدم اصدار :كشوف حساب نهائيا او مخالصات الا بعد: الرجوع لادارة العامه للتحصيل ومعال:جة الديون التجزئة المصرفية,41,,
بطاقة ائتمانية معدومه في 23062022: برصيداصلفوائد 4781.95يحظر اصدار :كشف حساب ا التنازل عن الإجراءات الق:ضائية الا بعد الرجوع للإدارة العامة: للتحصيل,41,,
العميل متوفى بتاريخ 05012019 .. و:تم الابلاغ فى 13112019,12,,
العميل متوفى بتاريخ 05012019 وتم :الابلاغ يوم 15092022,12,,
العميل متوفى بتاريخ 05012021 تم ا:لابلاغ 02032021,12,,
العميل متوفى بتاريخ 05032021,12,,
العميل متوفى بتاريخ 05032021اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,12,,
العميل متوفى بتاريخ 05032023تم ايقاف الفائدة وارسال المستندات ل:لادارة بتاريخ 19032023تم سداد قرض 630.711.207619 عن طريق :شيك تغطيه تامينه,12,,
العميل متوفى بتاريخ 05042020,12,,
العميل متوفى بتاريخ 05042022تاريخ اعلام الفرع 24052022تم سداد قرض 422.914.4732 عن طريق شي:ك تغطية تأمينية,12,,
العميل متوفى بتاريخ 05042023تم فتح منتج تركات 402.500.10744 لحي:ن احضار اوراق التركه,12,,
العميل متوفى بتاريخ 05052018 وتم :إخطارنا بتاريخ 23102018,12,,
العميل متوفى بتاريخ 05052023 وورد:ت الينا المستندات بتاريخ 10052023: وتم تسفير المطالبه بتاريخ 110520:23ISCORE  اخطار بوفاه العميل من خلال: بيانات الشركه المصريه للاستعلام ال:ا,12,,
العميل متوفى بتاريخ 05062020 وتم :الابلاغ يوم 02092020,12,,
العميل متوفى بتاريخ 05062022,12,,
العميل متوفى بتاريخ 05062023تم سداد القرض رقم 635.711.141027 عن: طريق شيك تغطيه تامنيه,12,,
العميل متوفى بتاريخ 05072018,12,,
العميل متوفى بتاريخ 05081998,12,,
العميل متوفى بتاريخ 05092020اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني  :,12,,
العميل متوفى بتاريخ 05092023 وتم :ارسال مستندات الوفاه الى الادارةسدا:د قرض 110.711.18056 عن طريق شيك تغط:يه تامينه,12,,
العميل متوفى بتاريخ 05102015,12,,
العميل متوفى بتاريخ 05102023 تم ا:لابلاغ 20112023,12,,
العميل متوفى بتاريخ 05112016,12,,
العميل متوفى بتاريخ 05112021وتم ا:رسال المستندات بتاريخ 09112021,12,,
العميل متوفى بتاريخ 05112021وتم ا:لابلاغ عن طريق الميل فرعنا اسوان .,12,,
العميل متوفى بتاريخ 05122017 وتم :الابلاغ بتاريخ 04092018 ..,12,,
العميل متوفى بتاريخ 06012021 تم ا:لابلاغ 13012021,12,,
العميل متوفى بتاريخ 06022014,12,,
العميل متوفى بتاريخ 06022021 تم ا:لابلاغ 17022021,12,,
العميل متوفى بتاريخ 06022021تاريخ الإبلاغ 17062021,12,,
العميل متوفى بتاريخ 06032019 وتم :الابلاغ بتاريخ 12032019 الساعه 11:.57ص عن طريق الابن محمود حسن شاطر.:,12,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلالمستندات طرف الإدارة المركزيه,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المدي:ونيه المستحقه علي العميل محاسبيا مع: الاستمرار في اتخاذ الاجراءات القان:ونيه المتخذه في 122018,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122019:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122020:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتا,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه بتاريخ :12018 م,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه وفقا لقرار لجنه الاصول: بتاريخ 15122021,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه بتاريخ 122019:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه مع عدم اعطاء ايه: مخالصات او كشوف حساب او بيان عن ال:حساب,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم فتح حساب ديون معدومه وتم ارسال خ:طاب بعلم الوصول بتاريخ 27082018,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: المحله ثان بمبلغ 25388.848جم بتاري:خ 1842017,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: ضرائب المحله ثان بمبلغ 14317.958جم: بتاريخ 2642017,88,7,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: ماموريه دمنهور اول 68084.75جم126:2013,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلديون معدومه,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلرصيد المديونية 44319.95 وتم الاعدام: بتاريخ26122016,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلضامن متخذ ضده اجراء قانونى,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعدم التعامل على الحساب لحين حضور ال:عميل فرع نوبار,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعميل ديون معدومة بقرار92018,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعميل متخذ ضده والكفيل اجراءات قضائي:ة بتاريخ 1742013 لمنتج 695 ح111.6:95.563,88,10,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلمحول شئؤن قانونية,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميليلزم كارتة توقيع وترسل لفرع سموحهتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية ال,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميمحول شئؤن قانونيه: 07082016تم إعدام المديونية المس:تحقة على العميل محاسبيا مع الأستمرا:ر فى الأجراءات القانونية المتخذة كق:را,88,,
Customer has 2 loans so far.:مطلوب تحديث بيانات العميل,88,,
Customer has 2 loans so far.العميل :قام بتقديم مستندات غير صحيح ولايجوز: منحة اي تسهيلات أئتمانية مرة أخرى :  1432011   :مطلوب تحديث بيانات ا:لعميل,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلالمستندات طرف الإدارة المركزيه,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المدي:ونيه المستحقه علي العميل محاسبيا مع: الاستمرار في اتخاذ الاجراءات القان:ونيه المتخذه في 122018,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122019:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122020:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتا,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه بتاريخ :12018 م,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه وفقا لقرار لجنه الاصول: بتاريخ 15122021,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه بتاريخ 122019:,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم اعدام المديونيه مع عدم اعطاء ايه: مخالصات او كشوف حساب او بيان عن ال:حساب,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلتم فتح حساب ديون معدومه وتم ارسال خ:طاب بعلم الوصول بتاريخ 27082018,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: المحله ثان بمبلغ 25388.848جم بتاري:خ 1842017,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: ضرائب المحله ثان بمبلغ 14317.958جم: بتاريخ 2642017,88,7,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلحجز تنفيذى كطلب: ماموريه دمنهور اول 68084.75جم126:2013,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلديون معدومه,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلرصيد المديونية 44319.95 وتم الاعدام: بتاريخ26122016,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلضامن متخذ ضده اجراء قانونى,88,, 
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعدم التعامل على الحساب لحين حضور ال:عميل فرع نوبار,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعميل ديون معدومة بقرار92018,88,41,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلعميل متخذ ضده والكفيل اجراءات قضائي:ة بتاريخ 1742013 لمنتج 695 ح111.6:95.563,88,10,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميلمحول شئؤن قانونية,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميليلزم كارتة توقيع وترسل لفرع سموحهتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية ال,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميمحول شئؤن قانونيه: 07082016تم إعدام المديونية المس:تحقة على العميل محاسبيا مع الأستمرا:ر فى الأجراءات القانونية المتخذة كق:را,88,,
Customer has 2 loans so far.:مطلوب تحديث بيانات العميل,88,,
Customer has 2 loans so far.العميل :قام بتقديم مستندات غير صحيح ولايجوز: منحة اي تسهيلات أئتمانية مرة أخرى :  1432011   :مطلوب تحديث بيانات ا:لعميل,88,,
ت. الوفاه 1461999لايتم التصرف فى التركة الا للورثة ا:لشرعيين بموجب مذكرة صرف من قسم القض:ايا:مطلوب تحديث بيانات العميل,88,12,
ت. الوفاه 18122002لا يتم التصرف فى التركة الا للورثة :الشرعيين بموجب مذكرة صرف من قسم الق:ضايا:مطلوب تحديث بيانات العميل,88,12,
ت.الوفاة18081998لايتم الصرف الاللورثة الشرعيين:عميل اوراق ماليه عدم غلق الحساب,12,,
ت.الوفاة20072003لايم الصرف الاللورثة الشرغيين:مطلوب: تحديث بيانات العميل,88,12,
ت.الوفاة31082003لايتم الصرف الاللورثة الشرعيين:مطلو:ب تحديث بيانات العميل,88,12,
عدم السحب الا بقرار النيابه الحزبيه:العميل له بريد مرتد:مطلوب تحديث بيا:نات العميل مرتد92013:Major custome:r nowحجز قضائى كطلبساوى محمد محمود منصو:ر55ر3075016جم 10مصاريف قضائيه,88,8,
"عدم السحب الا بقرار النيابه الحسبية: ، الاب وصى ع القاصر مما يؤول اليه :من تركه ام هاشم طنطاوى",1,,
عدم السحب الا بقرار النيابه الحسبيه: الوصي منير كمال محمد احمد,1,,
عدم السحب الا بقرار النيابه الحسبيه: حيث ان الاب وصى على اموال القاصر: بتركه الام:Major customer now,8,1,
عدم السحب الا بقرار النيابه الحسبيه:الموافقة للوصيه على صرف عائد الشهاد:ات الصادر من بنك القاهرة فرع المطار: بصفة دورية منظمة طبقا لقرار محكمة :الاسرة,1,,
عدم السحب الا بقرار النيابه:مطلوب ت:حديث بيانات العميل:مطلوب تحديث بيان:ات العميل:Major customer now,88,8,
عدم السحب الا بقرار الوصية,1,,
عدم السحب الا بقرار م النيابه الحسب:يه,1,,
عدم السحب الا بقرار مجلس حاسبى,1,,
عدم السحب الا بقرار محكمه,1,,
عدم السحب الا بقرار محكمه الاسره و :تصريح للوصية  مروى مصطفى غنيم بصرف: عائد الشهادات بصفة مستديمة و يتم ت:حويل عائد الشهادات الى حساب الوصية::Major customer now:Major customer n:ow,8,1,
عدم السحب الا بقرار من  المحكمه الح:سبية:Major customer now,8,1,
عدم السحب الا بقرار من  النيابه الح:زبيه,1,,
عدم السحب الا بقرار من اللجنة الحسب:يةصرف عائد الشهادات للوصية سميرة احم:د السيد رميه بصفة دورية,1,,
عدم السحب الا بقرار من المجلس الحزب:ى:Major customer now,8,1,
