story,action_code1,action_code2,action_code3
Customer has 8 loans so far.:مطلوب :تحديث بيانات العميل,88,,
Customer has 3 loans so far.,17,,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميل,88,,
العميل ختم وبصمة,10,11,
مستندات التحديث طرف الادارة المركزي:ه,88,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021,10,41,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلللعميل بريد مرتد,88,,
اخطار بوفاة العميل من خلال بيان:ات الشركة المصرية للاستعلام الائتما:ني  IScore,12,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now,88,,
Customer has 4 loans so far.,17,,
Major customer now:Major customer n:ow:Major customer now,8,,
للعميل بريد مرتد.,17,,
ختم وبصمة,10,11,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102022,10,41,
Customer has 5 loans so far.,17,,
العميل حاصل على بطاقه ائتمانيه,26,,
تم منح العميل محفظة قاهرة كاش  تجار: و في حالة رغبة العميل بفتح حساب با:لبنك يلزم استيفاء نموذج 1ح ج,30,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميلللعميل بريد مرتد,88,,
0,,,
مطلوب تحديث البياناتللعميل بريد مرتد,88,,
عميل تمويل عقارىعدم السحب,1,32,
Customer has 6 loans so far.,17,,
تم منح العميل محفظة قاهرة كاش تجا:ر فى حالة رغبة العميل بفتح حساب يتم: أستيفاء نموذج 1 ح ج ,30,,
مطلوب تحديث البيانات:Major customer: now,88,,
مطلوب تحديث بيانات,88,,
العميله ختم وبصمه,10,11,
عدم السحبتمويل عقارى,1,32,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:Major customer now:,88,,
مشروعات,,,
عدم سحب تمويل عقارى,1,32,
Customer has 9 loans so far.:مطلوب :تحديث بيانات العميل,88,,
العميل حاصل على بطاقة ائتمانية,26,,
.,,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102023,10,41,
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل,88,,
Customer has 7 loans so far.,17,,
للعميل بريد مرتد:Major customer now:,8,,
وفاة العميل,12,,
عدم السحب,1,32,
Major customer now:مطلوب تحديث بيان:ات العميل,88,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 23052023,10,41,
بريدمرتد,,,
العميل ختم و بصمه,10,11,
لعميل بريد مرتد,,,
وفاه العميل,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى i:score,12,,
للعميل بريد مرتدد,,,
العميل محال شئون قانونيه,10,32,
عقد تمويل عقاري,,,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل,88,,
تم منح العميل محفظة قاهرة كاش تجار :فى حالة رغبة العميل بفتح حساب يتم أ:ستيفاء نموذج 1 ح ج ,30,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now,8,,
مرتد92014,,,
العميل محول شئون قانونيه,10,32,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 082021,10,41,
العميل متوفي,12,,
عدم السحب من منتج 544 تمويل عقارى,1,32,
العميل مصدر له بطاقة ائتمانية بدون :ضمان ويجب الرجوع لخدمة عملاء البطاق:ات قبل الغاء وتخفيض الوعاء الادخارى:,26,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 30032022,10,41,
كشف حساب مرتد,,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني I:Score,12,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now:Major cust:omer now:Major customer now:Major c:ustomer now:Major customer now:Majo:r customer now:Major,8,,
ختم و بصمه,10,11,
عدم السحب من ح 409 حساب اقساط سلع,1,32,
مطلوب تحديث البياناتاخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,88,12,
مطلوب للتحديث:مطلوب تحديث بيانات ال:عميل,88,,
.للعميل بريد مرتد.,,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 12012023,10,41,
عدم سحب تمويل عقاري,1,32,
مطلوب تحديثه:مطلوب تحديث بيانات الع:ميل,88,,
عدم السحب عميل تمويل عقاري,1,32,
العميل مصدر له بطاقه ائتمانيه,26,,
العميل حاصل علي بطاقه ائتمانيه,26,,
عدم السحب من حساب التمويل العقاري,1,32,
عميل ختم وبصمة,10,11,
مرتد 122013,,,
Customer has 8 loans so far.,17,,
تحديث بيانات,88,,
العميلة ختم وبصمة,10,11,
تم فتح محفظة قاهرة كاش تجار في حالة: رغبة العميل فتح حساب بالبنك يتم اس:تيفاء نموذج 1 ح ج,30,,
مطلوب تحديث البيانات اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,88,,
العميل ختم و بصمة,10,11,
مطلوب تحديث بيانات العميلللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,88,,
عدم سحب  تمويل عقارى,1,32,
لا يتم السحب الا بقرار من النيابه ا:لحسبيه,1,32,
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل,88,,
تمويل عقارىعدم السحب,1,32,
Customer has 10 loans so far.:مطلوب: تحديث بيانات العميل,88,,
بريدمرتد92013,,,
اخطار بوفاة العميل من خلال بيانا:ت الشركة المصرية للاستعلام الائتمان:ي  IScore,12,,
العميل يحمل بطاقة ائتمان,26,,
العميل حاصل على قرض سيارة,22,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل:Major customer now,88,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني I:score,12,,
قسط مشروعات,22,,
visa,26,,
تمويل عقارى عدم السحب,1,32,
اخطار بوفاة العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I:score,12,,
مرتد062014,,,
micro,16,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناته:مطلوب تحديث بيانات العمي:ل,88,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122020:,10,41,
العميل مطلوب لتحديث البيانات:مطلوب :تحديث بيانات العميل,88,,
بريد مرتد122013,,,
الرجوع لقسم المشروعات,6,,
عدم السحب نهائيا من منتج 544 تمويل :عقارى,1,32,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى ا:يسكور,12,,
العميل شئون قانونية,10,32,
مطلوب تحديث بيانات العميل بريد مرتد:,88,,
عدم السحب من منتج544العميل حاصل على: قرض تمويل عقارى,1,32,
مطلوب التحديث:مطلوب تحديث بيانات ال:عميل,88,,
للعميل بريد مرتد92013,,,
العميل بصمه وختم طبقا لخطاب التعميم: رقم 42018,10,11,
حاله وفاه,12,,
عدم السحب منتج 544 تمويل عقارى,1,32,
Major customer nowللعميل بريد مرتد,8,,
تم منح العميل محفظة قاهرة كاش تجار :في حاله رغبة العميل بفتح حساب يتم ا:ستيفاء نموذج 1 ح ج,30,,
العميل شئون قانونيه,10,32,
العميل اصدر له بطاقه ائتمانيه,26,,
تم منح العميل محفظه قاهره كاش تجار :فى حاله رغبه العميل فتح حساب يستلزم: استيفاء 1 ح ج,30,,
العميل حاصل على كارد ائتمان,26,,
العميل محول شئون قانونية,10,32,
العميل بلغ سن الرشد:مطلوب تحديث بيا:نات العميل,88,8,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني,12,,
اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
Customer has 1 loans so far,17,,
عميل خزن حديديه فرع سبورتنج,27,,
عدم سحب عقد تمويل عقاري,1,32,
مرتد122013للعميل بريد مرتد,,,
عدم السحب عميل تمويل عقارى,1,32,
عدم السحب من حساب تمويل عقاري,1,32,
العميل له بطاقه ائتمانيه,26,,
بريد مرتد92013,,,
العميل مطلوب للتحديث:مطلوب تحديث بي:انات العميل,88,,
للعمبل بريد مرتد,,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :,12,,
مرتد092014,,,
وفاه,12,,
اضافة الحوالات الوارده بالعملات الى: الحساب المصرى كطلب العميل,3,,
بريد مرتد 92013,,,
حاصل على بطاقه ائتمانيه,26,,
مرتد 32014,,,
العميل لديه محفظه قاهره كاش في حالة: رغبة العميل بفتح حساب بالبنك يلزم :إستيفاء نموذج 1 ح.ج,30,,
في حالة رغبة العميل بفتح حساب بالبن:ك يلزم إستيفاء نموذج 1 ح.ج,30,,
مرتد32014,,,
بطاقه ائتمانيه,26,25,
للعميل بريد مرتد 062014,,,
برجاء تحديث بيانات العميل,88,,
عدم اصدار كشوف حساب او اعاده تنشيط :اى حساب للعميل او منح أي مخالصات او: ابرام الذمه ولا يتم التنازل عن الإ:جراءات القانونيه الا بعد الموافقه م:ن الاداره العامه للتحصي,3,,
مصدر بطاقة ائتمانية,30,,
عدم السحب من منتج544 العميل حاصل عل:ى قرض تمويل عقارى,1,32,22
اخطار بوفاة العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني I:SCORE,12,,
العميل حاصل على فيزا,26,,
ختم وبصمة.,10,11,
عدم السحب  تمويل عقارى,1,32,
مجمد 4800 جم لجمعية الخدمات:مطلوب ت:حديث بيانات العميل:مطلوب تحديث بيان:ات العميل:مطلوب تحديث بيانات العميل:,88,63,
صاحب الحساب ختم وبصمه,10,11,
عميل خزن مؤجرة,27,,
Customer has 9 loans so far.,17,,
اخطار بوفاة العميل من خلال الشركة :المصرية للاستعلام الائتمانى,12,,
عميل متوفى,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى,12,,
تمويل عقاري,,,
للعميل بريد مرتد:مطلوب تحديث بيان:ات العميل,88,,
العميل مطلوب لقسم خدمه العملاء لتحد:يث بياناته:مطلوب تحديث بيانات العمي:ل,88,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:Major :customer now,88,8,
بريد مرتد62014,,,
تم اغلاق القرض عن طريق شيك التعويض :ضد مخاطر عدم السداد,41,,
حظر التعامل معه,32,,
مطلوب تحديث بيانات العميلللعميل بريد مرتد:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل,88,,
بريد مرتدللعميل بريد مرتد,,,
مطلوب تحديث بيانات العميلمرتد122013,88,,
Major customer now:Major customer n:ow:مطلوب تحديث بيانات العميل,88,8,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021,10,41,
مطلوب تحديث البيانات:Major customer: now:Major customer now,88,,
مطلوب تحديث:مطلوب تحديث بيانات العم:يل,88,,
Customer has 11 loans so far.:مطلوب: تحديث بيانات العميل,88,,
بريد مرتد62013,,,
اخطار بوفاة العميل من خلال بيانات :الشركة المصرية للاستعلام الائتماني : IScore,12,,
العميل حاصل علي بطاقه ائتمانيه غير :مضمنه 3000 جم,26,,
العميل له بطاقة ائتمانية,26,,
ختم و بصمة,10,11,
صاحب الحساب ختم وبصمة,10,11,
. تم منح العميل محفظة قاهرة كاش تج:ار فى حالة رغبة العميل بفتح حساب يت:م أستيفاء نموذج 1 ح ج,30,,
Customer has 2 loans so far,17,,
العميل بصمه وختم,10,11,
العميل مطلوب للتحديث:مطلوب تحديث بي:انات العميل:مطلوب تحديث بيانات العم:يل:مطلوب تحديث بيانات العميل,88,,
اخطار بوفاه العميل من خلال الشركة ا:لمصرية للاستعلام الائتمانى ISCORE,12,,
للعميل بريد مرتد اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122019:,10,41,
عدم السحب نهائيا ـ تمويل عقارى,1,32,
بطاقة ائتمانية,26,,
مطلوب تحديث بيانات العميل ببطاقة ال:رقم القومى,88,,
عميل التمويل العقارىعدم السحب,1,32,
العميل يحمل بطاقة بنك القاهرة الائت:مانية,26,,
محول شئون قانونيه,10,32,
العميل حاصل على قرض تمويل عقارى,22,,
شئون قانونيه,10,32,
مطلوب لتحديث البيانات:مطلوب تحديث ب:يانات العميل,88,,
اخطار بوفاة العميل من خلال الشركة ا:لمصرية للأستعلام الائتمانى  Iscore:,12,,
اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني: IScore,12,,
بريد مرتد92014,,,
للعميل بريد مرتد:Major customer now::Major customer now,8,,
بريد مرتد 62013,,,
مرتد62014,,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now:Major cust:omer now,8,,
بريد مرتد32014,,,
تم ارسال المستندات الى الشئون القان:ونيه,10,,
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميل,88,,
اخطار بوفاة العميل من خلال بيانات ا:لشركه المصريه للاستعلام الإئتماني I:Score,12,,
تم فتح محفظه قاهرة كاش تجار في حالة: رغبة العميل فتح حساب بالبنك يتم اس:تيفاء نموذج 1 ح ج,30,,
متاخرات,,,
للعميل بريد مرتداخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني,12,,
العميل بلغ سن الرشد:مطلوب تحديث بيا:نات العميل:مطلوب تحديث بيانات العمي:ل,88,8,
مستندات التحديث طرف المركزية,88,,
العميل حاصل علي بطاقه ائتمانيه 3000:جم,26,,
مطلوب خدمه عملاء تحديث بيانات,88,,
.للعميل بريد مرتد,,,
حالة وفاة,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I: SCORe,12,,
لا يتم الصرف الا باذن النيابة الحسب:ية,1,32,
مطلوب تحديث بيانات العميل للعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميلللعميل بريدمرتد,88,,
مطلوب تحديث بيانات العميلمرتد122013:مطلوب تحديث بيانات العم:يل,88,,
تحديث:مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث البيانات:مطلوب تحديث بي:انات العميل,88,,
عدم السحب من حساب تمويل عقاري مع قب:ول إيداع,1,32,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 19122021,10,41,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل للعميل بريد مرتد,88,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now,8,,
اخطار بوفاه العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى i:score,12,,
حالة وفاه,12,,
بريد مرتد 122013,,,
التوجه لخدمة العملاء لتحديث البيانا:ت:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
قرض معاش,70,41,
مطلوب تحديث البيانات اخطار بوفاة ا:لعميل من خلال بيانات الشركة المصرية: للاستعلام الائتماني  IScore,88,,
ISCORE  اخطار بوفاه العميل من خلال: بيانات الشركه المصريه للاستعلام ال:ائتماني,12,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث بيانات العميلبريد مرتد,88,,
اخطار بوفاة العميل من خلال بيان:ات الشركة المصرية للاستعلام الائتما:ني IScore,12,,
عدم السحب من ح التمويل العقاري,1,32,
اخطار بوفاة العميل من خلال بيانات :الشركة المصرية للاستعلام الائتماني : ,12,,
العميل حاصل على قرض سياره,22,,
بطاقة ائتمان,26,25,
عميل ختم و بصمه,10,11,
اخطار بوفاة العميل من خلال بيانات ا:لايسكور,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتماني,12,,
عدم السحب من حساب تمويل عقارى,1,32,
العميل توفاه الله,12,,
تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 31102023,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الإجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102023,10,41,
العميل مطلوب لخدمه العملاء للتحديث::مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل,88,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore  ,12,,
العميل حاصل على ماستر كارد,26,25,
العميل حاصل علي بطاقه ائتمانيه مضمن:ه 5000جم,26,25,
عدم السحب تمويل عقاري مع قبول الايد:اع,1,32,
عميل تمويل عقارى عدم السحب,1,32,
مطلوب تحديث بيانات العميلللعميل بريد مرتد:Major customer now:,88,8,
العميل متوفى:مطلوب تحديث بيانات الع:ميل,88,12,
خطار بوفاة العميل من خلال بيانات ال:شركة المصرية للاستعلام الائتماني  I:Score,12,,
عدم اصدار كشوف حساب  نهائياً للعميل: و عدم إصدار مخالصات أو شهادات إبرا:ء ذمة أو التنازل عن الإجراءات القضا:ئية إلا بعد الرجوع للإدارة العامة ل:لتحصيل  ومعالجة ديون ال,10,12,
مطلوب تحديث البيانات اخطار بوفاة ال:عميل من خلال بيانات الشركة المصرية :للاستعلام الائتماني  IScore,88,,
وفاه العميل من خلال بيانات الشركة ا:لمصريه للاستعلام الائئتمانى ISCORE,12,,
رقم قومى:مطلوب تحديث بيانات العميل,88,,
قرض سياره,22,,
له بطاقه ائتمانيه,26,25,
Customer has 10 loans so far.,17,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:score,12,,
خطار بوفاة العميل من خلال بيانات ال:شركة المصرية للاستعلام الائتماني,12,,
عدم السحب لوفاة العميل,12,32,
مطلوب تحديث بيانات العميل للعميل بر:يد مرتد,88,,
مطلوب تحديث بيانات العميلتم منح العميل محفظة قاهرة كاش تجار :فى حالة رغبة العميل بفتح حساب يتم أ:ستيفاء نموذج 1 ح ج,88,,
اخطار بوفاة العميل من خلال بيانات :الشركة المصرية للاستعلام الائتمانيI:Score,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانيIS:core,12,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث البيانات:مطلوب تحديث بيانات العم:يل,88,,
العميل متوفي وتم الإبلاغ عن طريق ال:ايسكور,12,,
عدم السحب 544,1,32,
عدم السحب عميل تمويل عقارى فرع العب:ور,1,32,
مطلوب تحديث البيانات  اخطار بوفاة العميل من خلال بيان:ات الشركة المصرية للاستعلام الائتما:ني  IScore,88,12,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل بريد مرتد,88,,
مطلوب تحديث بيانات العميللعميل بريد مرتد,88,,
مطلوب تحديثه:مطلوب تحديث بيانات الع:ميلللعميل بريد مرتد,88,,
مطلوب للتحديث خ ع:مطلوب تحديث بيانا:ت العميل,88,,
التوجه لخدمة العملاء لتحديث البيانا:ت:مطلوب تحديث بيانات العميل,88,,
العميل ختم وبصمه طبقا لخطاب تعميم ر:قم 42018 لالغاء الدفاتر الورقيه,,,
بطاقة ائتمان بحد 3000جم,26,25,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القضائية المتخذة ضده عدم اصدار ا:ى مخالصات او كشوف حساب قبل الرجوع ل:ادارة التحصيل,10,41,
متعثرين وتم السداد عن طريق النادى,,8,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:Major :customer now:Major customer now:Maj:or customer now:Major customer now::Major customer now:Major customer n:ow:Major customer no,88,8,
مطلوب تحديث بيانات العميل:Major cus:tomer nowللعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميل:للعميل بريد مرتد,88,,
اخطار بالوفاه عن طريق شركة iscore,12,,
اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:,12,,
العميل بلغ سن الرشد,8,,
العميل حاصل على بطاقه ائتمانية,26,25,
عدم السحب544,1,32,
التوجة لخدمة العملاء لتحديث البيانا:ت:مطلوب تحديث بيانات العميل,88,,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميلللعميل بريد مرتد,88,,
credit card,26,,
برجاء التوجه لخدمة العملاء لتحديث ا:لبيانات,88,,
عدم السحب نهائيا من منتج 544 ـ تموي:ل عقارى,1,32,
مطلوب تحديث البيانات:Major customer: now:Major customer now:Major custo:mer now,88,8,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للأستعلام الأتمانى I:SCORE,12,,
للعميل بريد مرتد:Major customer now::Major customer now:Major customer :now:Major customer now:Major custom:er now:Major customer now:Major cus:tomer now:Major customer now:Major :customer now:Major c,8,,
العميله مصدر لها بطاقه ائتمانيه,26,25,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا وعدم اصدار اى كشوف حساب:ات مع الأستمرار فى الأجراءات القانو:نية,10,41,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:Major :customer now:Major customer now,88,8,
iscoreاخطار لوفاه العميل من خلال بي:انات الشركه المصريه للاستعلام الائت:مانى,12,,
اخطار لوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى i:score,12,,
تم اتخاذ الاجراءات القضائية ضد العم:يل,10,,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 30032022,10,41,
تم منح العميل محفظه القاهره كاش تجا:ر في رغبه العميل بفتح حساب يلزم است:يفاء نموذج 1 ح ج,30,,
عميل ماستر  المطار,26,,
التوجه لخدمة العملاء لتحديث البيانا:ت,88,,
عدم السحب من الحساب تمويل عقاري,1,32,
عدم السحب من تمويل عقاري,1,32,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:Major customer now::Major customer now,88,8,
اخطار بوفاة العميل خلاب بيانات الشر:كة المصرية للاستعلام الائتمانى isc:oure,12,,
العميل حاصل على قرض شخصى بضمان شهاد:ات,21,,
العميل متخذ ضده اجراءات قانونية,10,32,
ديون معدومه,41,,
متوفى,12,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:مطلوب تحديث بيانات العميل:,88,8,
وفاة,12,,
أخطاربوفاة العميل من خلال بيانات ال:شركة المصرية للاستعلام الائتمانى I:Score,12,,
العميل ديون معدومه ولايتم التعامل ع:لى الحساب الا بعد الرجوع لاداره الق:روض الصغيره,41,,
العميل مصدر له محفظه القاهرة كاش,30,26,25
العميله متوفيه,12,,
عدم السحب الا بعد سداد المتاخرات,1,32,
مطلوب تحديث بيانات العميلتحديث الرقم القومى,88,,
مطلوب للتحديث:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل,88,,
العميل مصدر له بطاقة ائتمانية,26,25,
تجميد مبلغ 5000 جم مقابل خزينه حديد:يه,27,,
لايتم الصرف الا باذن النيابه الحسبي:ه,1,32,
للعميل بريد مرتد:Major customer now::Major customer now:Major customer :now,8,,
Major customer now:Major customer n:owللعميل بريد مرتد,8,,
اخطار بوفاة العميل من خلال الشركه ا:لمصريه للاستعلامIscore,12,,
سداد حساب الجارى مدين,41,,
عدم السحب الا بقرار من النيابة الحس:بية,1,32,
مطلوب العميل للتحديث:مطلوب تحديث بي:انات العميل,88,,
تم اعدام الدين مع الاستمرار فى الاج:راءات القانونيه,10,41,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل بريد مرتد,88,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now:Major cust:omer now:Major customer now:Major c:ustomer now,8,,
تم اعدام الدين مع الاستمرار فى الشئ:ون القانونيه,10,41,
تم اعدام المديونيه المستحفه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ة الاصول بتاريخ 15122021,10,41,
عدم السحب من الحساب دفعه مقدمة تموي:ل عقارى,1,32,
عدم السحبعميل التمويل العقارى,1,32,
عدم الصرف الا بقرار من النيابه الحس:بيه,1,32,
:مطلوب تحديث بيانات العميل,88,,
اخطار لوفاه العميل من خلال بيانات ا:لشركه المصريه للاسلام الائتمانى isc:ore,12,,
عدم السحب حساب  تمويل عقاري مع قبول: الايداع,1,32,
لا يتم السحب الا باذن النيابه الحسب:يه,1,32,
مطلوب تحديث بيانات العميل:Major cus:tomer now:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميل,88,8,
مطلوب تحديثة:مطلوب تحديث بيانات الع:ميل,88,,
Customer has 12 loans so far.:مطلوب: تحديث بيانات العميل,88,,
